evm.model.CP144692.1_RagTag.3712	RAV
evm.model.CP144691.1_RagTag.144	RAV
evm.model.CP144689.1_RagTag.37	SRS
evm.model.CP144689.1_RagTag.50	bZIP
evm.model.CP144690.1_RagTag.1085	LBD
evm.model.CP144690.1_RagTag.1142	WRKY
evm.model.CP144690.1_RagTag.1248	LBD
evm.model.CP144690.1_RagTag.1675	bHLH
evm.model.CP144690.1_RagTag.1822	bHLH
evm.model.CP144690.1_RagTag.222	GRAS
evm.model.CP144690.1_RagTag.236	SAP
evm.model.CP144690.1_RagTag.242	NF-YA
evm.model.CP144690.1_RagTag.2700	FAR1
evm.model.CP144690.1_RagTag.272	NF-YB
evm.model.CP144690.1_RagTag.3202	GRAS
evm.model.CP144690.1_RagTag.3286	NAC
evm.model.CP144690.1_RagTag.336	WRKY
evm.model.CP144690.1_RagTag.3426	GRAS
evm.model.CP144690.1_RagTag.3793	WRKY
evm.model.CP144690.1_RagTag.3965	LBD
evm.model.CP144690.1_RagTag.399	NAC
evm.model.CP144690.1_RagTag.405	FAR1
evm.model.CP144690.1_RagTag.4099	BES1
evm.model.CP144690.1_RagTag.496	EIL
evm.model.CP144690.1_RagTag.639	LBD
evm.model.CP144690.1_RagTag.656	bHLH
evm.model.CP144690.1_RagTag.817	LBD
evm.model.CP144690.1_RagTag.863	bHLH
evm.model.CP144690.1_RagTag.966	NAC
evm.model.CP144691.1_RagTag.1044	WRKY
evm.model.CP144691.1_RagTag.1100	GRAS
evm.model.CP144691.1_RagTag.1124	LBD
evm.model.CP144691.1_RagTag.1137	bHLH
evm.model.CP144691.1_RagTag.1156	WRKY
evm.model.CP144691.1_RagTag.1344	bHLH
evm.model.CP144691.1_RagTag.1359	NF-YC
evm.model.CP144691.1_RagTag.140	bZIP
evm.model.CP144691.1_RagTag.1428	NAC
evm.model.CP144691.1_RagTag.1613	NAC
evm.model.CP144691.1_RagTag.1695	WRKY
evm.model.CP144691.1_RagTag.1719	FAR1
evm.model.CP144691.1_RagTag.1726	LBD
evm.model.CP144691.1_RagTag.1831	VOZ
evm.model.CP144691.1_RagTag.1926	NF-YA
evm.model.CP144691.1_RagTag.2010	NF-YB
evm.model.CP144691.1_RagTag.2082	GRAS
evm.model.CP144691.1_RagTag.2083	WRKY
